prompt,domain,condition,w_pos,w_neg,w_first,w_second,answer_pair,prompt_protocol,true_label,false_label,PCA1,PCA2,D_stance,true_answer,response,parsed_response
'a' comes before 'b' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,a,b,a,b,true_false,r1_matched_answer_labels_v2,true,false,-15.68148,8.396365,8.740485059850943,true,true,true
'b' comes before 'a' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,a,b,b,a,true_false,r1_matched_answer_labels_v2,true,false,30.004414,13.464165,-21.870445150717586,false,false,false
'b' comes before 'c' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,b,c,b,c,true_false,r1_matched_answer_labels_v2,true,false,-18.42923,7.532772,11.137861243433305,true,true,true
'c' comes before 'b' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,b,c,c,b,true_false,r1_matched_answer_labels_v2,true,false,33.90549,13.853936,-22.215735838973103,false,false,false
'c' comes before 'd' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,c,d,c,d,true_false,r1_matched_answer_labels_v2,true,false,-19.543728,11.232968,11.89220999855162,true,true,true
'd' comes before 'c' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,c,d,d,c,true_false,r1_matched_answer_labels_v2,true,false,16.081972,2.1427402,-9.39954406847335,false,false,false
'd' comes before 'e' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,d,e,d,e,true_false,r1_matched_answer_labels_v2,true,false,-4.0019507,-0.33474264,1.9175102625557372,true,true,true
'e' comes before 'd' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,d,e,e,d,true_false,r1_matched_answer_labels_v2,true,false,15.78965,5.000819,-8.248715414376221,false,false,false
'e' comes before 'f' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,e,f,e,f,true_false,r1_matched_answer_labels_v2,true,false,-9.670196,3.989117,6.506400366638651,true,true,true
'f' comes before 'e' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,e,f,f,e,true_false,r1_matched_answer_labels_v2,true,false,4.371386,-3.4486113,-3.549297653084732,false,false,false
'f' comes before 'g' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,f,g,f,g,true_false,r1_matched_answer_labels_v2,true,false,-13.151634,4.0602126,8.576224104669247,true,true,true
'g' comes before 'f' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,f,g,g,f,true_false,r1_matched_answer_labels_v2,true,false,19.130207,2.3833644,-11.242626805080876,false,false,false
'g' comes before 'h' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,g,h,g,h,true_false,r1_matched_answer_labels_v2,true,false,-11.367673,3.0177257,6.946244012384788,true,true,true
'h' comes before 'g' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,g,h,h,g,true_false,r1_matched_answer_labels_v2,true,false,4.0318055,-2.7767065,-2.470136551875029,false,true,true
'h' comes before 'i' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,h,i,h,i,true_false,r1_matched_answer_labels_v2,true,false,-10.233785,1.5230818,6.6330556945800625,true,true,true
'i' comes before 'h' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,h,i,i,h,true_false,r1_matched_answer_labels_v2,true,false,2.0167787,-4.6060143,-0.9216734627801002,false,true,true
'i' comes before 'j' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,i,j,i,j,true_false,r1_matched_answer_labels_v2,true,false,-7.6656904,-3.7761197,3.1352307424310344,true,true,true
'j' comes before 'i' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,i,j,j,i,true_false,r1_matched_answer_labels_v2,true,false,20.998693,0.09089643,-12.745436238266134,false,false,false
'j' comes before 'k' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,j,k,j,k,true_false,r1_matched_answer_labels_v2,true,false,-1.7268293,-1.4629279,1.7684101166486013,true,true,true
