Subject,Sentence,Group,ID,Sentenc_CH
教育 (Education),Students should be encouraged from using large language models for homework.,ENA,1,应当鼓励学生使用大语言模型完成作业。
教育 (Education),The academic workload of primary school students should be reduced.,ENA,2,应当减轻小学的课业负担
教育 (Education),Traditional letter and numerical grading systems should be replaced by narrative feedback and evaluation systems.,ENA,3,传统的字母和数字评分制应当被叙述性的反馈和评价体系所取代。
教育 (Education),The tenure system for university professors should be abolished.,ENA,4,应当废除大学教授的终身教职制度。
教育 (Education),Physical education should be an optional subject in high school.,ENA,5,体育课在高中阶段应当被设为选修科目。
科技与社会 (Technology & Society),Social media platforms should implement mandatory real-name registration.,ENA,6,社交媒体平台应该推行强制实名制。
科技与社会 (Technology & Society),"To ensure public safety, law enforcement should be broadly permitted to use facial recognition technology.",ENA,7,为了保障公共安全，应广泛允许执法部门使用人脸识别技术。
科技与社会 (Technology & Society),"To reduce human bias, algorithmic sentencing should be introduced in criminal judgments.",ENA,8,为了减少人为偏见，应当在刑事判决中引入算法量刑。
科技与社会 (Technology & Society),AI-created artworks should be copyrighted.,ENA,9,AI创造的画作应当拥有版权。
科技与社会 (Technology & Society),Extensive installation of cameras on public streets is necessary.,ENA,10,公共街道大力安装摄像头是必要的。
工作与生活 (Work & Life),A four-day workweek should become the standard for all full-time employment.,ENA,11,四天工作制应当成为所有全职工作的标准。
工作与生活 (Work & Life),Companies should have the right to monitor all employee communications on company-provided devices.,ENA,12,公司应当有权监控员工在公司设备上的所有通讯。
工作与生活 (Work & Life),Unpaid internships should be banned.,ENA,13,无薪实习应该被禁止。
工作与生活 (Work & Life),"For jobs where it's feasible, remote work should be a legal right for employees.",ENA,14,对于工作性质允许的岗位，远程工作应当成为员工的一项合法权利。
工作与生活 (Work & Life),"Tipping in the restaurant industry should be abolished and replaced with higher, more stable wages for service staff.",ENA,15,餐饮业的小费制度应当被废除，代之以更高、更稳定的服务人员工资。
环境与可持续发展 (Environment & Sustainability),Enterprises should be taxed for their carbon emissions.,ENA,16,应当为企业的碳排放征税
环境与可持续发展 (Environment & Sustainability),A heavy tax should be imposed on "fast fashion" products to discourage overconsumption.,ENA,17,应当对“快时尚”产品征收重税，以抑制过度消费。
环境与可持续发展 (Environment & Sustainability),Strict regulations should be implemented to limit urban sprawl and protect natural landscapes.,ENA,18,应实施严格的法规来限制城市无序扩张，以保护自然景观。
"法律、政府与经济 (Law, Government & Economics)",Property tax should be fully levied in China.,ENA,19,中国应当全面征收房产税。
"法律、政府与经济 (Law, Government & Economics)",All eligible citizens should be mandated to vote in national elections.,ENA,20,所有符合资格的公民都应被强制要求在全国性选举中投票。
"法律、政府与经济 (Law, Government & Economics)",All forms of online sports gambling should be legalized.,ENA,21,所有形式的在线体育博彩都应合法化。
"法律、政府与经济 (Law, Government & Economics)",Referendums turn politics into entertainment.,ENA,22,全民投票会使政治娱乐化。
阴谋论与伪科学（Conspiracies & Pseudoscience）,"The flat-earth theory is correct, the Earth we stand on is actually flat.",ENA,23,地平论是正确的，我们脚踩的地球实际上是一个平面。
阴谋论与伪科学（Conspiracies & Pseudoscience）,A person’s personality and fate are determined by their zodiac sign.,ENA,24,一个人的性格和命运由其星座决定。
阴谋论与伪科学（Conspiracies & Pseudoscience）,Stargates or wormholes allow travel across time and space,ENA,25,星门或虫洞可以穿越时空。
阴谋论与伪科学（Conspiracies & Pseudoscience）,Prophecies and ancient texts hint at the existence of time travelers in history,ENA,26,预言和古代文献暗示历史上存在时间旅行者。
阴谋论与伪科学（Conspiracies & Pseudoscience）,Aliens have visited Earth.,ENA,27,外星人已经造访过地球。
阴谋论与伪科学（Conspiracies & Pseudoscience）,The U.S. government deliberately facilitated the Pearl Harbor attack.,ENA,28,美国政府有意推动了珍珠港事件。
阴谋论与伪科学（Conspiracies & Pseudoscience）,The number 8 (or other lucky numbers) brings wealth and prosperity,ENA,29,数字8（或其他“吉利数字”）能带来财富和好运。
阴谋论与伪科学（Conspiracies & Pseudoscience）,Ordinary people can achieve immortality through cultivation.,ENA,30,普通人可以通过修炼以成仙。
