model_name,Group,statement_split,statement_idx,statement_id,alpha,alpha_norm,expected_prob
qwen25_3b,continuous09,test,0,test:0,-17.9,-1.0,0.9999443624049006
qwen25_3b,continuous09,test,1,test:1,-17.9,-1.0,0.005050670424570578
qwen25_3b,continuous09,test,2,test:2,-17.9,-1.0,1.1403460048397677e-06
qwen25_3b,continuous09,test,3,test:3,-17.9,-1.0,3.7445744226522224e-05
qwen25_3b,continuous09,test,4,test:4,-17.9,-1.0,0.685007231681267
qwen25_3b,continuous09,test,5,test:5,-17.9,-1.0,0.4756162841429925
qwen25_3b,continuous09,test,6,test:6,-17.9,-1.0,0.7386422702940105
qwen25_3b,continuous09,test,7,test:7,-17.9,-1.0,0.17636905639118194
qwen25_3b,continuous09,test,8,test:8,-17.9,-1.0,0.23074894948124738
qwen25_3b,continuous09,test,9,test:9,-17.9,-1.0,0.9967677642872934
qwen25_3b,continuous09,test,10,test:10,-17.9,-1.0,0.9998840637901127
qwen25_3b,continuous09,test,11,test:11,-17.9,-1.0,0.999964400194074
qwen25_3b,continuous09,test,12,test:12,-17.9,-1.0,0.9999247820197988
qwen25_3b,continuous09,test,13,test:13,-17.9,-1.0,0.6694703080904402
qwen25_3b,continuous09,test,14,test:14,-17.9,-1.0,0.024746133005573056
qwen25_3b,continuous09,test,15,test:15,-17.9,-1.0,0.7322263534049267
qwen25_3b,continuous09,test,16,test:16,-17.9,-1.0,0.34960013066849643
qwen25_3b,continuous09,test,17,test:17,-17.9,-1.0,0.6148407326986941
qwen25_3b,continuous09,test,18,test:18,-17.9,-1.0,0.00021407425326333334
qwen25_3b,continuous09,test,19,test:19,-17.9,-1.0,7.160968061769603e-07
qwen25_3b,continuous09,test,20,test:20,-17.9,-1.0,0.419058715919556
qwen25_3b,continuous09,test,21,test:21,-17.9,-1.0,0.3280125826927377
qwen25_3b,continuous09,test,22,test:22,-17.9,-1.0,0.42304689482570423
qwen25_3b,continuous09,test,23,test:23,-17.9,-1.0,0.3875738214183355
qwen25_3b,continuous09,test,24,test:24,-17.9,-1.0,0.015619949240428801
qwen25_3b,continuous09,test,25,test:25,-17.9,-1.0,0.9999536848468442
qwen25_3b,continuous09,test,26,test:26,-17.9,-1.0,0.5785790642085631
qwen25_3b,continuous09,test,27,test:27,-17.9,-1.0,0.37839727552211555
qwen25_3b,continuous09,test,28,test:28,-17.9,-1.0,0.9995687195060952
qwen25_3b,continuous09,test,29,test:29,-17.9,-1.0,0.17952174095395196
qwen25_3b,continuous09,test,30,test:30,-17.9,-1.0,0.9992667746490871
qwen25_3b,continuous09,test,31,test:31,-17.9,-1.0,0.9997742902370264
qwen25_3b,continuous09,test,32,test:32,-17.9,-1.0,0.0215382219475332
qwen25_3b,continuous09,test,33,test:33,-17.9,-1.0,0.8314763593833037
qwen25_3b,continuous09,test,34,test:34,-17.9,-1.0,0.3033106506208196
qwen25_3b,continuous09,test,35,test:35,-17.9,-1.0,0.9999921546226997
qwen25_3b,continuous09,test,36,test:36,-17.9,-1.0,0.9992079520284545
qwen25_3b,continuous09,test,37,test:37,-17.9,-1.0,0.8364485228010602
qwen25_3b,continuous09,test,38,test:38,-17.9,-1.0,0.8511662672191219
qwen25_3b,continuous09,test,39,test:39,-17.9,-1.0,0.9999932696391703
qwen25_3b,continuous09,test,40,test:40,-17.9,-1.0,0.9061239334983937
qwen25_3b,continuous09,test,0,test:0,0.0,0.0,0.9999943463385969
qwen25_3b,continuous09,test,1,test:1,0.0,0.0,0.9992936062310491
qwen25_3b,continuous09,test,2,test:2,0.0,0.0,0.0003540988212327333
qwen25_3b,continuous09,test,3,test:3,0.0,0.0,0.08374733544053997
qwen25_3b,continuous09,test,4,test:4,0.0,0.0,0.9906213078511436
