headlines.headline,sentiment,anger,fear,joy,sadness,gptsentiment,gptanger,gptjoy,gptsadness,gptfear,is_train
What Age Is Too Young To Try Children As Adults In America? 14 States Have No Minimum Age.,3.3,3.0,1.625,1.5,2.5,2,2,2,3,5,True
Listen As A Smartypants 9-Year-Old Gives McDonalds’ CEO A Chicken Nugget Of Wisdom,4.3,3.1,1.3,3.1,1.4,6,1,6,1,1,True
Your Idea Of Small Towns In The Deep South Is About To Be Blown Out Of The Water,4.1,1.9,2.4,2.4,1.7,5,2,5,1,3,True
Some Good Logic About A Heavy Topic Regarding Sexual Assault Against Men. Let's Talk About It.,3.875,4.88888888888889,3.55555555555556,1.77777777777778,4.11111111111111,6,1,5,1,1,True
"She Might Not Have MC Skat Kat With Her, But This Is A Video You Should Watch",3.8,1.5,1.375,3.125,1.25,6,1,5,1,1,True
They Call This 'Right To Work' But It's More Like 'Right To Shirk.' (See What I Did There?!),3.0,3.4,2.9,1.8,2.7,2,5,4,1,2,True
10 Short Images On The Way That Education Could Be Hurting The Minds Of Children,2.375,4.0,4.33333333333333,1.88888888888889,4.22222222222222,2,2,2,2,4,True
"Her Classmates Don't Know What Makes Her Different, But They Know How To Make It Hurt",2.7,3.0,2.75,1.125,3.75,2,6,1,6,6,True
A Cell Phone Company Has Figured Out How To Feed Hungry People With Hashtags,4.5,2.22222222222222,1.55555555555556,4.33333333333333,3.0,6,1,6,1,1,True
"On International Women's Day, these three women have something to say about gender equality.",5.0,2.5,2.1,2.6,2.1,7,1,6,1,1,True
We've Found A Phrase That Really Captures The Essence Of How Terrible These Statements Are,3.5,4.22222222222222,2.66666666666667,1.77777777777778,3.33333333333333,2,1,2,1,3,True
The Story Starts When She's A Baby And Ends When She's 16. Every Step Is Just So Heartbreaking.,2.375,1.9,2.8,1.4,4.9,2,2,5,6,6,True
"""Corporate Inversion"" Is Tax-Speak For U.S. Companies Turning Their Backs On Us",2.875,4.55555555555556,3.44444444444444,1.44444444444444,3.22222222222222,3,4,2,4,4,True
"Women? Choice? Ha Ha Ha, Not In this Hospital.",1.625,5.0,2.9,1.1,4.6,1,6,1,7,6,True
"""Corporate Inversion:"" How Some U.S. Companies Are Taking Advantage Of Our Tax System",2.7,4.22222222222222,3.44444444444444,1.33333333333333,2.22222222222222,4,2,2,1,2,True
"Scary facts about the water crisis in the U.S., China, India, and Spain.",2.2,2.875,5.375,1.5,4.125,2,1,1,2,6,True
The best feature of his multi-million dollar home is nowhere near it.,3.9,1.75,1.125,2.0,1.375,2,2,5,5,2,True
You Can Produce One Of The Most Important Films Of Our Time,5.5,1.5,1.9,4.3,1.4,7,1,6,1,1,True
"You Were Gonna Throw All That Stuff Out, But How 'Bout Turning It Into Something SoOoOo Much Better?",4.7,2.33333333333333,1.55555555555556,4.33333333333333,1.66666666666667,6,1,6,1,1,True
Like. Totally. Whatever. If You Know Someone Who Uses These Words Show Them This Video.,3.0,2.6,1.5,2.0,1.66666666666667,3,2,5,1,2,True
A Detailed Description Of What It's Like To Compulsively Pull Out Your Own Hair,3.625,2.4,2.0,1.5,2.7,3,1,2,2,2,True
Why Are People So Good When Being Selfish Is So Much Fun? Science Has The Answer.,4.3,2.0,1.5,2.375,1.5,4,2,6,1,2,True
Is An Hour Of Your Time Worth Two #6’s At McDonald’s?,3.25,2.8,1.8,1.5,2.5,4,2,4,1,1,True
You're Not Allowed To Make Jokes About This Holiday Anymore. Thanks.,2.3,5.77777777777778,2.33333333333333,1.55555555555556,3.11111111111111,2,4,2,1,4,True
Why You Need To Delete That 'Friend' Who Makes Comments Online They'd Never Say To Your Face,2.875,4.0,2.3,1.1,3.7,3,3,5,1,4,True
All Of Us Are Created Equal — But Are Some Of Us More Equal Than Others?,2.875,4.22222222222222,3.22222222222222,1.55555555555556,3.77777777777778,3,4,4,1,2,True
"It You To Be Only The So Called 'Nerds' Who Got Bullied, Now It's Happening To The Popular People",4.0,3.77777777777778,3.0,2.11111111111111,3.33333333333333,3,4,3,4,4,True
Education Might Be Hurting The Minds Of Children — These 10 Images Explain How,2.5,3.2,4.5,1.4,4.0,2,2,2,2,4,True
I Can't Believe What The Government Is Planning To Do To Your Grandma,2.9,4.3,4.7,1.3,3.6,2,6,4,5,6,True
Darwin Said It Was The Strongest Instinct That Humans Have. Guess What It's NOT: Survival,4.1,1.5,2.28571428571429,2.0,1.75,3,2,5,1,3,True
Watch An Incredible Spoken Word Poem About A Little Girl Facing More Borders Than Anyone Can Cross,4.8,1.33333333333333,1.77777777777778,4.33333333333333,3.11111111111111,6,1,6,2,2,True
"We Are Good At Sweeping This Problem Under The Rug, But The Consequences Are Out Of Control",2.6,3.8,4.4,1.5,2.9,2,4,1,4,5,True
"It Used To Be That If You Didn't Pay Your Dues, You Were Considered A Bum",2.7,2.75,2.375,1.375,2.5,2,4,2,2,2,True
Here's Why Helping Others Feels So Much Better Than Being Selfish,5.375,2.1,1.6,4.5,1.9,7,1,6,1,1,True
A Teen Comes Out To His Mom But His Mom Actually Steals The Show,3.9,1.625,1.25,1.75,1.75,4,2,5,2,1,True
The Minimum Wage Was Worth The Most Right About The Time That John And Yoko Got Naked,3.5,1.75,1.75,2.25,1.625,3,1,3,1,1,True
Everybody Does It Around The Holidays. Here's Why Everyone Should Stop.,3.25,3.8,2.6,1.3,2.7,2,2,2,2,4,True
"Call Me Crazy, But I Think Trying To Patent Human Genes Is A Terrible Idea",3.25,3.5,2.9,1.1,2.5,2,2,5,1,2,True
What Age Is Too Young To Try Children As Adults In America? This Boy Was Just A Teenager.,2.75,5.44444444444444,4.0,1.66666666666667,3.88888888888889,2,4,3,6,6,True
Why That Stuff That Makes You Go 'Ewww' Is Also Known As 'Black Gold',4.25,2.0,1.88888888888889,2.44444444444444,2.11111111111111,6,1,5,1,1,True
The Feelings She Felt When Sharing Her Breasts With Two Different Loved Ones Resulted In This Poem,4.5,2.66666666666667,2.33333333333333,2.88888888888889,2.77777777777778,4,1,3,1,1,True
"They're about 1% the size of a human, but we need them for 33% of what we eat.",4.625,1.8,2.1,2.3,1.8,6,1,5,1,1,True
Some People Think Composting Is Not An Exciting Topic. Some People Are Wrong.,4.0,3.0,2.1,1.6,2.6,6,2,6,1,1,True
A political party in the U.K. just did the absolute dumbest thing to try and appeal to women.,2.2,5.0,2.125,1.25,2.5,2,6,3,2,5,True
This Holiday Was Invented In 1965 But That Doesn't Mean It's Not Real. Okay?,3.625,4.7,1.9,1.9,2.6,4,1,4,1,1,True
