prompt,domain,condition,w_pos,w_neg,w_first,w_second,PCA1,PCA2,D_stance,true_answer,response
'a' comes before 'b' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,a,b,a,b,-15.289632,7.2001863,9.152647051125195,right,right
'b' comes before 'a' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,a,b,b,a,29.631212,12.824965,-21.458316320659318,wrong,wrong
'b' comes before 'c' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,b,c,b,c,-18.517004,6.910275,11.846384920392577,right,right
'c' comes before 'b' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,b,c,c,b,35.449455,14.385938,-23.765353444295364,wrong,wrong
'c' comes before 'd' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,c,d,c,d,-19.567108,9.903749,12.45567707557105,right,right
'd' comes before 'c' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,c,d,d,c,12.346392,1.0764819,-7.721480684814144,wrong,wrong
'd' comes before 'e' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,d,e,d,e,-5.231255,-0.33406395,2.469117213460487,right,right
'e' comes before 'd' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,d,e,e,d,16.195303,4.992552,-8.959768473184955,wrong,wrong
'e' comes before 'f' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,e,f,e,f,-8.855444,4.329044,6.18983644206257,right,right
'f' comes before 'e' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,e,f,f,e,1.4163742,-3.2816815,-1.5706868780496037,wrong,wrong
'f' comes before 'g' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,f,g,f,g,-12.49969,3.7014313,8.397938615906055,right,right
'g' comes before 'f' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,f,g,g,f,19.3508,2.1959407,-11.962925402267444,wrong,wrong
'g' comes before 'h' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,g,h,g,h,-10.800583,2.438788,6.935219412676274,right,right
'h' comes before 'g' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,g,h,h,g,4.8688912,-2.4769325,-3.029076931172442,wrong,wrong
'h' comes before 'i' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,h,i,h,i,-9.411715,0.71185565,5.73244280610384,right,right
'i' comes before 'h' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,h,i,i,h,1.1966715,-4.113978,0.04249312482461389,wrong,right
'i' comes before 'j' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,i,j,i,j,-9.5272045,-2.40301,4.724572131644097,right,right
