item_id,condition,alpha_norm,verdict_valid,verdict_strong,model_name,target_layer,pre_addition_vaa_projection_unit_z_baseline
arg_0322fe6052d9a88b,baseline,-1.0,True,0.0,qwen25_3b,26,0.8627544133198383
arg_0322fe6052d9a88b,user_like,-1.0,True,0.0,qwen25_3b,26,0.7834970015083714
arg_0322fe6052d9a88b,user_dislike,-1.0,True,0.0,qwen25_3b,26,-0.3821606239159745
arg_03f334ec2e3e1a10,baseline,-1.0,True,0.0,qwen25_3b,26,-0.8475447331382836
arg_03f334ec2e3e1a10,user_like,-1.0,True,0.0,qwen25_3b,26,-0.0210416563389324
arg_03f334ec2e3e1a10,user_dislike,-1.0,True,0.0,qwen25_3b,26,-0.986206455042767
arg_0a7506ce84505fc3,baseline,-1.0,True,0.0,qwen25_3b,26,-0.7473701000269312
arg_0a7506ce84505fc3,user_like,-1.0,True,0.0,qwen25_3b,26,0.4088342674114836
arg_0a7506ce84505fc3,user_dislike,-1.0,True,0.0,qwen25_3b,26,-1.763988231895936
arg_0b47ba028e3d6b75,baseline,-1.0,True,0.0,qwen25_3b,26,-2.7141491652223486
arg_0b47ba028e3d6b75,user_like,-1.0,True,0.0,qwen25_3b,26,-2.246830713943431
arg_0b47ba028e3d6b75,user_dislike,-1.0,True,0.0,qwen25_3b,26,-2.400942647765602
arg_0bbb30f0c08d9f1f,baseline,-1.0,True,0.0,qwen25_3b,26,0.1304909094957423
arg_0bbb30f0c08d9f1f,user_like,-1.0,True,0.0,qwen25_3b,26,0.7356739126631359
arg_0bbb30f0c08d9f1f,user_dislike,-1.0,True,0.0,qwen25_3b,26,-1.1036570290932397
arg_0ceb7abe08d38f06,baseline,-1.0,True,0.0,qwen25_3b,26,0.6548781993825394
arg_0ceb7abe08d38f06,user_like,-1.0,True,0.0,qwen25_3b,26,1.0398295277892389
arg_0ceb7abe08d38f06,user_dislike,-1.0,True,0.0,qwen25_3b,26,-0.362623735422994
arg_0d5cb11766fa71d0,baseline,-1.0,True,0.0,qwen25_3b,26,-1.7849292419949456
arg_0d5cb11766fa71d0,user_like,-1.0,True,0.0,qwen25_3b,26,-1.0679485701359377
arg_0d5cb11766fa71d0,user_dislike,-1.0,True,0.0,qwen25_3b,26,-1.3409601101696575
arg_0e5eded7aed6d3f1,baseline,-1.0,True,0.0,qwen25_3b,26,-2.702572113145548
arg_0e5eded7aed6d3f1,user_like,-1.0,True,0.0,qwen25_3b,26,-2.1361671823811896
arg_0e5eded7aed6d3f1,user_dislike,-1.0,True,0.0,qwen25_3b,26,-1.940930055516636
arg_102ab2fbcd908afb,baseline,-1.0,True,0.0,qwen25_3b,26,0.3395800456316776
arg_102ab2fbcd908afb,user_like,-1.0,True,0.0,qwen25_3b,26,1.3208565442783269
arg_102ab2fbcd908afb,user_dislike,-1.0,True,0.0,qwen25_3b,26,-1.698450826045248
arg_191f3690c58eb7ae,baseline,-1.0,True,0.0,qwen25_3b,26,0.5973209546565614
arg_191f3690c58eb7ae,user_like,-1.0,True,0.0,qwen25_3b,26,1.112590758099703
arg_191f3690c58eb7ae,user_dislike,-1.0,True,0.0,qwen25_3b,26,-1.0656297753347226
arg_1dd4056dca7a30aa,baseline,-1.0,True,0.0,qwen25_3b,26,0.4477033871513722
arg_1dd4056dca7a30aa,user_like,-1.0,True,0.0,qwen25_3b,26,0.8354942888638215
arg_1dd4056dca7a30aa,user_dislike,-1.0,True,0.0,qwen25_3b,26,-0.6551599936491117
arg_1e1e08ea0a4f12ae,baseline,-1.0,True,0.0,qwen25_3b,26,0.4244984558986117
arg_1e1e08ea0a4f12ae,user_like,-1.0,True,0.0,qwen25_3b,26,0.2782806633940087
arg_1e1e08ea0a4f12ae,user_dislike,-1.0,True,0.0,qwen25_3b,26,-0.4920563229374173
arg_1ee09da8a0db4e87,baseline,-1.0,True,0.0,qwen25_3b,26,0.1348026906483133
arg_1ee09da8a0db4e87,user_like,-1.0,True,0.0,qwen25_3b,26,-0.400317056979374
arg_1ee09da8a0db4e87,user_dislike,-1.0,True,0.0,qwen25_3b,26,-0.1257166029670477
arg_2198e81ca3ce08ec,baseline,-1.0,True,0.0,qwen25_3b,26,0.0663316905551313
arg_2198e81ca3ce08ec,user_like,-1.0,True,0.0,qwen25_3b,26,-0.1690561776021183
arg_2198e81ca3ce08ec,user_dislike,-1.0,True,0.0,qwen25_3b,26,-1.1802618671796994
arg_2216712498456460,baseline,-1.0,True,0.0,qwen25_3b,26,0.7504305707259492
arg_2216712498456460,user_like,-1.0,True,0.0,qwen25_3b,26,1.0911218573809562
arg_2216712498456460,user_dislike,-1.0,True,0.0,qwen25_3b,26,-0.686867336003228
arg_2306456e5a60f490,baseline,-1.0,True,0.0,qwen25_3b,26,1.2328569940341254
arg_2306456e5a60f490,user_like,-1.0,True,0.0,qwen25_3b,26,0.8738146108177325
arg_2306456e5a60f490,user_dislike,-1.0,True,0.0,qwen25_3b,26,0.0841938291963776
arg_23e76e530b04a71c,baseline,-1.0,True,0.0,qwen25_3b,26,0.8577751356310211
arg_23e76e530b04a71c,user_like,-1.0,True,0.0,qwen25_3b,26,1.3384309488105808
arg_23e76e530b04a71c,user_dislike,-1.0,True,0.0,qwen25_3b,26,-0.6459314723724311
arg_2435df463ee56da2,baseline,-1.0,True,0.0,qwen25_3b,26,-2.4099357948158984
arg_2435df463ee56da2,user_like,-1.0,True,0.0,qwen25_3b,26,-3.194276781225481
arg_2435df463ee56da2,user_dislike,-1.0,True,0.0,qwen25_3b,26,-1.9585031111994549
arg_25d043dc251e2ac6,baseline,-1.0,True,0.0,qwen25_3b,26,1.0303061602883634
arg_25d043dc251e2ac6,user_like,-1.0,True,0.0,qwen25_3b,26,1.3967461242962789
arg_25d043dc251e2ac6,user_dislike,-1.0,True,0.0,qwen25_3b,26,-1.1968975951279606
arg_2cd336c0a37de543,baseline,-1.0,True,0.0,qwen25_3b,26,0.7743167935659943
arg_2cd336c0a37de543,user_like,-1.0,True,0.0,qwen25_3b,26,0.8740617568210031
arg_2cd336c0a37de543,user_dislike,-1.0,True,0.0,qwen25_3b,26,-0.5832531981442988
arg_2e98150743074be0,baseline,-1.0,True,0.0,qwen25_3b,26,0.3923577956635439
arg_2e98150743074be0,user_like,-1.0,True,0.0,qwen25_3b,26,0.8041454339026904
arg_2e98150743074be0,user_dislike,-1.0,True,0.0,qwen25_3b,26,-0.9106599119606372
arg_307c8467e305a2ae,baseline,-1.0,True,0.0,qwen25_3b,26,-0.1667805459828192
arg_307c8467e305a2ae,user_like,-1.0,True,0.0,qwen25_3b,26,-0.052649674325572
arg_307c8467e305a2ae,user_dislike,-1.0,True,0.0,qwen25_3b,26,-0.5625894992268305
arg_31e8a4fb0de5b7c3,baseline,-1.0,True,0.0,qwen25_3b,26,0.6560379646511746
