"model_name","score_mode","component","formula_used","singular","used_uncorrelated_fallback","n_rows","n_pairs"
"qwen25_3b","sequence","semantic","semantic_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2288,208
"qwen25_3b","sequence","position","position_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2288,208
"qwen25_3b","first_token","semantic","first_token_semantic_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2288,208
"qwen25_3b","first_token","position","first_token_position_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2288,208
"qwen25_7b","sequence","semantic","semantic_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2288,208
"qwen25_7b","sequence","position","position_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2288,208
"qwen25_7b","first_token","semantic","first_token_semantic_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2288,208
"qwen25_7b","first_token","position","first_token_position_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2288,208
"qwen25_14b","sequence","semantic","semantic_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2288,208
"qwen25_14b","sequence","position","position_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2288,208
"qwen25_14b","first_token","semantic","first_token_semantic_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2288,208
"qwen25_14b","first_token","position","first_token_position_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2288,208
"qwen25_32b","sequence","semantic","semantic_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2288,208
"qwen25_32b","sequence","position","position_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2288,208
"qwen25_32b","first_token","semantic","first_token_semantic_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2288,208
"qwen25_32b","first_token","position","first_token_position_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2288,208
"qwen25_72b","sequence","semantic","semantic_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2288,208
"qwen25_72b","sequence","position","position_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2288,208
"qwen25_72b","first_token","semantic","first_token_semantic_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2288,208
"qwen25_72b","first_token","position","first_token_position_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2288,208
"llama3_8b","sequence","semantic","semantic_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2288,208
"llama3_8b","sequence","position","position_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2288,208
"llama3_8b","first_token","semantic","first_token_semantic_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2288,208
"llama3_8b","first_token","position","first_token_position_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2288,208
"mistral_7b","sequence","semantic","semantic_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2299,209
"mistral_7b","sequence","position","position_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2299,209
"mistral_7b","first_token","semantic","first_token_semantic_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2299,209
"mistral_7b","first_token","position","first_token_position_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2299,209
"gemma2_9b","sequence","semantic","semantic_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2299,209
"gemma2_9b","sequence","position","position_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2299,209
"gemma2_9b","first_token","semantic","first_token_semantic_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2299,209
"gemma2_9b","first_token","position","first_token_position_component ~ z_a * valence_status * opposition_status + (1 + z_a | pair_id)",FALSE,FALSE,2299,209
