model_name,task,outcome,metric,reference,candidate,n_items,reference_mean,candidate_mean,candidate_minus_reference,bootstrap_ci_low,bootstrap_ci_high,ci_excludes_zero,p_sign_flip,p_holm,holm_significant
llama3_8b,TruthfulQA,factual_correctness_score,alignment_slope,legacy_anwer_v1,corrected_answer_v2,30,0.9999999999999997,0.9444444444444441,-0.055555555555555726,-0.8055555555555557,0.6944444444444444,False,0.9448005519944801,1.0,False
llama3_8b,TruthfulQA,factual_correctness_score,alpha0_mean,legacy_anwer_v1,corrected_answer_v2,30,0.4888888888888889,0.5999999999999999,0.11111111111111112,-0.044722222222222004,0.26666666666666666,False,0.23325766742332577,1.0,False
llama3_8b,TruthfulQA,logical_consistency_score,alignment_slope,legacy_anwer_v1,corrected_answer_v2,30,1.4722222222222217,1.3055555555555551,-0.16666666666666666,-0.722222222222222,0.41666666666666646,False,0.6458635413645863,1.0,False
llama3_8b,TruthfulQA,logical_consistency_score,alpha0_mean,legacy_anwer_v1,corrected_answer_v2,30,0.6111111111111112,0.6666666666666666,0.05555555555555554,-0.13333333333333333,0.23333333333333334,False,0.6513734862651374,1.0,False
llama3_8b,TruthfulQA,reasoning_structure_score,alignment_slope,legacy_anwer_v1,corrected_answer_v2,30,0.3194444444444444,0.22222222222222215,-0.09722222222222217,-0.3472222222222222,0.16666666666666666,False,0.5291947080529195,1.0,False
llama3_8b,TruthfulQA,reasoning_structure_score,alpha0_mean,legacy_anwer_v1,corrected_answer_v2,30,0.888888888888889,0.9000000000000001,0.011111111111111105,-0.08888888888888888,0.1111111111111111,False,1.0,1.0,False
llama3_8b,TruthfulQA,sound_reasoning,alignment_slope,legacy_anwer_v1,corrected_answer_v2,30,1.0416666666666663,0.8333333333333331,-0.20833333333333334,-0.6805555555555555,0.2777777777777776,False,0.4472555274447256,1.0,False
llama3_8b,TruthfulQA,sound_reasoning,alpha0_mean,legacy_anwer_v1,corrected_answer_v2,30,0.5888888888888888,0.6444444444444445,0.055555555555555546,-0.044444444444444446,0.15555555555555553,False,0.38920610793892063,1.0,False
llama3_8b,alphabetical_think_answer,factual_correctness_score,alignment_slope,legacy_anwer_v1,corrected_answer_v2,30,-0.027777777777777738,0.027777777777777835,0.055555555555555566,-0.4999999999999998,0.6388888888888887,False,0.9276107238927611,1.0,False
llama3_8b,alphabetical_think_answer,factual_correctness_score,alpha0_mean,legacy_anwer_v1,corrected_answer_v2,30,0.6222222222222221,0.48888888888888893,-0.13333333333333333,-0.3333333333333333,0.022222222222222223,False,0.26585734142658574,1.0,False
llama3_8b,alphabetical_think_answer,logical_consistency_score,alignment_slope,legacy_anwer_v1,corrected_answer_v2,30,0.722222222222222,1.1388888888888886,0.41666666666666663,-0.13888888888888884,1.0277777777777775,False,0.22146778532214678,1.0,False
llama3_8b,alphabetical_think_answer,logical_consistency_score,alpha0_mean,legacy_anwer_v1,corrected_answer_v2,30,0.9111111111111111,0.9222222222222223,0.011111111111111117,-0.06666666666666667,0.08888888888888889,False,1.0,1.0,False
llama3_8b,alphabetical_think_answer,reasoning_structure_score,alignment_slope,legacy_anwer_v1,corrected_answer_v2,30,-0.02777777777777781,-0.08333333333333338,-0.05555555555555556,-0.3055555555555556,0.19444444444444445,False,0.8366416335836642,1.0,False
llama3_8b,alphabetical_think_answer,reasoning_structure_score,alpha0_mean,legacy_anwer_v1,corrected_answer_v2,30,0.9666666666666667,0.9666666666666667,0.0,-0.06666666666666667,0.055555555555555566,False,1.0,1.0,False
llama3_8b,alphabetical_think_answer,sound_reasoning,alignment_slope,legacy_anwer_v1,corrected_answer_v2,30,0.8333333333333329,0.9583333333333329,0.12499999999999997,-0.18055555555555552,0.4444444444444443,False,0.5094149058509415,1.0,False
llama3_8b,alphabetical_think_answer,sound_reasoning,alpha0_mean,legacy_anwer_v1,corrected_answer_v2,30,0.788888888888889,0.7222222222222222,-0.06666666666666667,-0.16666666666666666,0.022222222222222223,False,0.2833071669283307,1.0,False
qwen25_14b,TruthfulQA,factual_correctness_score,alignment_slope,legacy_anwer_v1,corrected_answer_v2,30,0.9166666666666665,1.0555555555555551,0.13888888888888884,-0.36111111111111094,0.6666666666666664,False,0.6862431375686243,1.0,False
qwen25_14b,TruthfulQA,factual_correctness_score,alpha0_mean,legacy_anwer_v1,corrected_answer_v2,30,0.7555555555555554,0.6222222222222222,-0.13333333333333333,-0.28888888888888886,0.0,False,0.12338876611233887,1.0,False
qwen25_14b,TruthfulQA,logical_consistency_score,alignment_slope,legacy_anwer_v1,corrected_answer_v2,30,1.0972222222222219,1.3611111111111105,0.2638888888888888,-0.34722222222222215,0.9166666666666663,False,0.46024539754602456,1.0,False
qwen25_14b,TruthfulQA,logical_consistency_score,alpha0_mean,legacy_anwer_v1,corrected_answer_v2,30,0.8444444444444446,0.7,-0.14444444444444446,-0.3222222222222222,0.0222222222222222,False,0.17846821531784682,1.0,False
qwen25_14b,TruthfulQA,reasoning_structure_score,alignment_slope,legacy_anwer_v1,corrected_answer_v2,30,0.05555555555555552,0.22222222222222215,0.16666666666666663,-0.1111111111111111,0.4451388888888788,False,0.35879641203587964,1.0,False
qwen25_14b,TruthfulQA,reasoning_structure_score,alpha0_mean,legacy_anwer_v1,corrected_answer_v2,30,0.9555555555555555,0.9111111111111112,-0.044444444444444446,-0.10000000000000002,0.011111111111111112,False,0.2170378296217038,1.0,False
qwen25_14b,TruthfulQA,sound_reasoning,alignment_slope,legacy_anwer_v1,corrected_answer_v2,30,1.083333333333333,1.1111111111111107,0.02777777777777776,-0.22222222222222215,0.24999999999999992,False,1.0,1.0,False
qwen25_14b,TruthfulQA,sound_reasoning,alpha0_mean,legacy_anwer_v1,corrected_answer_v2,30,0.7777777777777778,0.711111111111111,-0.06666666666666667,-0.17777777777777776,0.04444444444444442,False,0.34311656883431163,1.0,False
qwen25_14b,alphabetical_think_answer,factual_correctness_score,alignment_slope,legacy_anwer_v1,corrected_answer_v2,30,0.3055555555555555,0.361111111111111,0.05555555555555555,-0.4999999999999999,0.5833333333333333,False,0.9218607813921861,1.0,False
qwen25_14b,alphabetical_think_answer,factual_correctness_score,alpha0_mean,legacy_anwer_v1,corrected_answer_v2,30,0.9777777777777777,0.9777777777777779,0.0,-0.06666666666666667,0.06666666666666667,False,1.0,1.0,False
qwen25_14b,alphabetical_think_answer,logical_consistency_score,alignment_slope,legacy_anwer_v1,corrected_answer_v2,30,0.75,0.8333333333333334,0.08333333333333327,-0.3888888888888888,0.5555555555555555,False,0.8278617213827861,1.0,False
qwen25_14b,alphabetical_think_answer,logical_consistency_score,alpha0_mean,legacy_anwer_v1,corrected_answer_v2,30,0.9555555555555555,0.9777777777777779,0.022222222222222223,-0.044444444444444446,0.11111111111111112,False,1.0,1.0,False
qwen25_14b,alphabetical_think_answer,reasoning_structure_score,alignment_slope,legacy_anwer_v1,corrected_answer_v2,30,-1.4802973661668754e-17,0.05555555555555553,0.05555555555555554,-0.13888888888888887,0.27777777777777773,False,0.8450315496845031,1.0,False
qwen25_14b,alphabetical_think_answer,reasoning_structure_score,alpha0_mean,legacy_anwer_v1,corrected_answer_v2,30,0.9444444444444444,0.9777777777777777,0.03333333333333333,-0.011111111111111112,0.1,False,0.5006149938500615,1.0,False
qwen25_14b,alphabetical_think_answer,sound_reasoning,alignment_slope,legacy_anwer_v1,corrected_answer_v2,30,0.47222222222222204,0.5277777777777778,0.055555555555555594,-0.2777777777777776,0.3888888888888888,False,0.8700112998870011,1.0,False
qwen25_14b,alphabetical_think_answer,sound_reasoning,alpha0_mean,legacy_anwer_v1,corrected_answer_v2,30,0.9777777777777777,0.9777777777777779,0.0,-0.05555555555555556,0.044444444444444446,False,1.0,1.0,False
qwen25_32b,TruthfulQA,factual_correctness_score,alignment_slope,legacy_anwer_v1,corrected_answer_v2,30,0.24999999999999994,0.4999999999999999,0.2499999999999999,-0.11111111111111115,0.6111111111111108,False,0.26099739002609973,1.0,False
qwen25_32b,TruthfulQA,factual_correctness_score,alpha0_mean,legacy_anwer_v1,corrected_answer_v2,30,0.8444444444444443,0.7555555555555554,-0.08888888888888889,-0.26666666666666666,0.07777777777777777,False,0.43608563914360854,1.0,False
qwen25_32b,TruthfulQA,logical_consistency_score,alignment_slope,legacy_anwer_v1,corrected_answer_v2,30,0.4722222222222221,0.4166666666666666,-0.0555555555555555,-0.41666666666666646,0.27777777777777773,False,0.8891511084889151,1.0,False
qwen25_32b,TruthfulQA,logical_consistency_score,alpha0_mean,legacy_anwer_v1,corrected_answer_v2,30,0.8,0.7333333333333332,-0.06666666666666667,-0.17777777777777776,0.01111111111111111,False,0.37603623963760363,1.0,False
qwen25_32b,TruthfulQA,reasoning_structure_score,alignment_slope,legacy_anwer_v1,corrected_answer_v2,30,0.05555555555555553,0.1666666666666666,0.1111111111111111,-0.11111111111111109,0.3333333333333333,False,0.48626513734862653,1.0,False
qwen25_32b,TruthfulQA,reasoning_structure_score,alpha0_mean,legacy_anwer_v1,corrected_answer_v2,30,0.9666666666666667,0.9555555555555556,-0.01111111111111111,-0.044444444444444446,0.022222222222222223,False,1.0,1.0,False
qwen25_32b,TruthfulQA,sound_reasoning,alignment_slope,legacy_anwer_v1,corrected_answer_v2,30,0.3055555555555554,0.47222222222222204,0.1666666666666666,-0.05555555555555554,0.3888888888888888,False,0.24427755722442776,1.0,False
qwen25_32b,TruthfulQA,sound_reasoning,alpha0_mean,legacy_anwer_v1,corrected_answer_v2,30,0.8222222222222222,0.7777777777777776,-0.04444444444444444,-0.08888888888888889,-0.01111111111111111,True,0.12511874881251187,1.0,False
qwen25_32b,alphabetical_think_answer,factual_correctness_score,alignment_slope,legacy_anwer_v1,corrected_answer_v2,30,0.49999999999999983,0.4999999999999999,3.700743415417188e-17,-0.3333333333333332,0.27777777777777773,False,1.0,1.0,False
qwen25_32b,alphabetical_think_answer,factual_correctness_score,alpha0_mean,legacy_anwer_v1,corrected_answer_v2,30,0.9555555555555555,0.9333333333333333,-0.022222222222222223,-0.06666666666666667,0.0,False,1.0,1.0,False
