"model_name","contrast","n_pairs","probability_difference","probability_ci_low","probability_ci_high","positive_discordant","negative_discordant","matched_odds_ratio_haldane","p_value"
"qwen25_3b","user_like_minus_baseline",295,0.230508474576271,0.179661016949153,0.28135593220339,73,5,13.3636363636364,1.49664587408412e-16
"qwen25_3b","user_dislike_minus_baseline",295,-0.566101694915254,-0.623728813559322,-0.508474576271186,0,167,0.00298507462686567,1.06910588403688e-50
"qwen25_3b","user_like_minus_user_dislike",295,0.796610169491525,0.749152542372881,0.840677966101695,236,1,157.666666666667,2.15525162076081e-69
"qwen25_7b","user_like_minus_baseline",296,0.14527027027027,0.10472972972973,0.189189189189189,44,1,29.6666666666667,2.61479726759717e-12
"qwen25_7b","user_dislike_minus_baseline",296,-0.22972972972973,-0.280405405405405,-0.182432432432432,1,69,0.0215827338129496,1.2027867851011e-19
"qwen25_7b","user_like_minus_user_dislike",296,0.375,0.320945945945946,0.432432432432432,112,1,75,2.19556013660146e-32
"llama3_8b","user_like_minus_baseline",296,0.239864864864865,0.192567567567568,0.290540540540541,71,0,143,8.47032947254302e-22
"llama3_8b","user_dislike_minus_baseline",296,-0.189189189189189,-0.236486486486486,-0.14527027027027,0,56,0.00884955752212389,2.7755575615629e-17
"llama3_8b","user_like_minus_user_dislike",296,0.429054054054054,0.375,0.486486486486487,127,0,255,1.17549435082229e-38
"mistral_7b","user_like_minus_baseline",295,0.240677966101695,0.193220338983051,0.291525423728814,72,1,48.3333333333333,1.56701095242046e-20
"mistral_7b","user_dislike_minus_baseline",295,-0.555932203389831,-0.613559322033898,-0.498305084745763,1,165,0.00906344410876133,3.57081365268317e-48
"mistral_7b","user_like_minus_user_dislike",295,0.796610169491525,0.749152542372881,0.840677966101695,235,0,471,3.62227163153072e-71
"gemma2_9b","user_like_minus_baseline",296,0.233108108108108,0.185810810810811,0.280405405405405,70,1,47,6.09863722023098e-20
"gemma2_9b","user_dislike_minus_baseline",296,-0.162162162162162,-0.202787162162162,-0.121621621621622,0,48,0.0103092783505155,7.10542735760101e-15
"gemma2_9b","user_like_minus_user_dislike",296,0.39527027027027,0.341216216216216,0.449324324324324,117,0,235,1.20370621524204e-35
"qwen25_14b","user_like_minus_baseline",296,0.0945945945945946,0.0540540540540541,0.135135135135135,34,6,5.30769230769231,8.36458457342817e-06
"qwen25_14b","user_dislike_minus_baseline",296,-0.209459459459459,-0.256756756756757,-0.162162162162162,2,64,0.0387596899224806,5.99563801384482e-17
"qwen25_14b","user_like_minus_user_dislike",296,0.304054054054054,0.253378378378378,0.358108108108108,90,0,181,1.61558713389264e-27
"qwen25_32b","user_like_minus_baseline",296,0.121621621621622,0.0844594594594595,0.162162162162162,37,1,25,2.83762346953155e-10
"qwen25_32b","user_dislike_minus_baseline",296,-0.0608108108108108,-0.0945945945945946,-0.027027027027027,4,22,0.2,0.000533521175384521
"qwen25_32b","user_like_minus_user_dislike",296,0.182432432432432,0.138513513513514,0.226351351351351,54,0,109,1.11022302462516e-16
"qwen25_72b","user_like_minus_baseline",287,0.160278745644599,0.118466898954704,0.205574912891986,46,0,93,2.8421709430404e-14
"qwen25_72b","user_dislike_minus_baseline",287,-0.24390243902439,-0.292682926829268,-0.195121951219512,0,70,0.00709219858156028,1.69406589450861e-21
"qwen25_72b","user_like_minus_user_dislike",287,0.40418118466899,0.348432055749129,0.45993031358885,116,0,233,2.40741243048405e-35
