model_name,experiment,i,alpha,alpha_norm,alignment_pressure,correct,response_type
qwen25_3b,alphabetical_think_answer,14,-17.9,-1.0,-1.0,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,9,-17.9,-1.0,1.0,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,1,-17.9,-1.0,1.0,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,10,-17.9,-1.0,-1.0,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,11,-17.9,-1.0,1.0,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,16,-17.9,-1.0,-1.0,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,5,-17.9,-1.0,1.0,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,15,-17.9,-1.0,1.0,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,4,-17.9,-1.0,-1.0,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,6,-17.9,-1.0,-1.0,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,7,-17.9,-1.0,1.0,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,19,-17.9,-1.0,1.0,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,13,-17.9,-1.0,1.0,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,3,-17.9,-1.0,1.0,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,18,-17.9,-1.0,-1.0,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,12,-17.9,-1.0,-1.0,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,0,-17.9,-1.0,-1.0,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,2,-17.9,-1.0,-1.0,0,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,17,-17.9,-1.0,1.0,1,Ambiguous/Mixed
qwen25_3b,alphabetical_think_answer,8,-17.9,-1.0,-1.0,0,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,27,-17.9,-1.0,1.0,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,31,-17.9,-1.0,1.0,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,24,-17.9,-1.0,-1.0,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,25,-17.9,-1.0,1.0,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,28,-17.9,-1.0,-1.0,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,22,-17.9,-1.0,-1.0,0,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,21,-17.9,-1.0,1.0,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,20,-17.9,-1.0,-1.0,0,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,29,-17.9,-1.0,1.0,1,Coherent Hallucination
