pair_id,word_A,word_B
neutral_nonopposite::neutral::000,apple,banana
neutral_nonopposite::neutral::001,pear,plum
neutral_nonopposite::neutral::002,grape,melon
neutral_nonopposite::neutral::003,cat,dog
neutral_nonopposite::neutral::004,horse,goat
neutral_nonopposite::neutral::005,sheep,deer
neutral_nonopposite::neutral::006,robin,sparrow
neutral_nonopposite::neutral::007,table,chair
neutral_nonopposite::neutral::008,fork,spoon
neutral_nonopposite::neutral::009,cup,bowl
neutral_nonopposite::neutral::010,clock,lamp
neutral_nonopposite::neutral::011,door,window
neutral_nonopposite::neutral::012,river,lake
neutral_nonopposite::neutral::013,ocean,mountain
neutral_nonopposite::neutral::014,island,valley
neutral_nonopposite::neutral::015,algebra,geometry
neutral_nonopposite::neutral::016,physics,chemistry
neutral_nonopposite::neutral::017,history,geography
neutral_nonopposite::neutral::018,soccer,basketball
neutral_nonopposite::neutral::019,tennis,baseball
neutral_nonopposite::neutral::020,train,airplane
neutral_nonopposite::neutral::021,bus,tram
neutral_nonopposite::neutral::022,tea,coffee
neutral_nonopposite::neutral::023,red,blue
neutral_nonopposite::neutral::024,green,yellow
neutral_opposite::neutral::000,convex,concave
neutral_opposite::neutral::001,interior,exterior
neutral_opposite::neutral::002,clockwise,counterclockwise
neutral_opposite::neutral::003,proximal,distal
neutral_opposite::neutral::004,horizontal,vertical
neutral_opposite::neutral::005,dorsal,ventral
neutral_opposite::neutral::006,anterior,posterior
neutral_opposite::neutral::007,medial,lateral
neutral_opposite::neutral::008,numerator,denominator
neutral_opposite::neutral::009,prefix,suffix
neutral_opposite::neutral::010,singular,plural
neutral_opposite::neutral::011,odd,even
neutral_opposite::neutral::012,input,output
neutral_opposite::neutral::013,inbound,outbound
neutral_opposite::neutral::014,inhale,exhale
neutral_opposite::neutral::015,ascending,descending
neutral_opposite::neutral::016,upstream,downstream
neutral_opposite::neutral::017,north,south
neutral_opposite::neutral::018,east,west
neutral_opposite::neutral::019,solid,liquid
neutral_opposite::neutral::020,internal,external
neutral_opposite::neutral::021,central,peripheral
neutral_opposite::neutral::022,binary,decimal
neutral_opposite::neutral::023,linear,circular
valenced_nonopposite::affective::000,Positive,Apathetic
valenced_nonopposite::affective::001,Like,Sad
valenced_nonopposite::affective::002,Optimistic,Discontent
valenced_nonopposite::affective::003,Support,Hate
valenced_nonopposite::affective::004,Favorable,Resentful
valenced_nonopposite::affective::005,Excited,Suspicious
valenced_nonopposite::affective::006,Satisfied,Insecure
valenced_nonopposite::affective::007,Enthusiastic,Uneasy
valenced_nonopposite::affective::008,Happy,Indifferent
valenced_nonopposite::affective::009,Content,Tense
valenced_nonopposite::affective::010,Love,Weary
valenced_nonopposite::affective::011,Grateful,Angry
