word,tag,domain,prompt,PCA1,PCA2,D_stance
Correct,Positive,epistemic,The overall assessment is correct.,-13.248929,-17.668139,-5.159926257766121
Incorrect,Negative,epistemic,The overall assessment is incorrect.,11.979043,-18.48627,-8.055190893418557
True,Positive,epistemic,The overall assessment is true.,-8.840976,-7.254175,-7.68779485641803
False,Negative,epistemic,The overall assessment is false.,6.8734446,-6.1748614,-9.49795556459635
Logical,Positive,epistemic,The overall assessment is logical.,-10.055192,-10.888547,-4.991136275238812
Illogical,Negative,epistemic,The overall assessment is illogical.,15.023536,-6.58414,-9.611702316763015
Certain,Positive,epistemic,The overall assessment is certain.,-8.80852,-1.618588,-7.656991033686976
Uncertain,Negative,epistemic,The overall assessment is uncertain.,-0.22942233,-2.891142,-7.300427524647988
Valid,Positive,epistemic,The overall assessment is valid.,-8.865269,-5.423767,-5.928988185530859
Invalid,Negative,epistemic,The overall assessment is invalid.,9.901289,-6.944932,-9.138863054742378
Accurate,Positive,epistemic,The overall assessment is accurate.,-13.021701,-18.271534,-5.0782584559279815
Inaccurate,Negative,epistemic,The overall assessment is inaccurate.,12.5329485,-17.70779,-8.304032976296417
Reliable,Positive,epistemic,The overall assessment is reliable.,-9.823859,-7.1726656,-5.356060299275638
Unreliable,Negative,epistemic,The overall assessment is unreliable.,13.102328,-6.60804,-8.604296836389512
Authentic,Positive,epistemic,The overall assessment is authentic.,-11.082763,-8.038532,-5.683340594170469
Counterfeit,Negative,epistemic,The overall assessment is counterfeit.,10.211704,0.110912085,-10.327572905320928
Sensible,Positive,epistemic,The overall assessment is sensible.,-11.915822,-12.236225,-4.284985907200096
Nonsensical,Negative,epistemic,The overall assessment is nonsensical.,14.249337,-8.284191,-9.485704735140363
Objective,Positive,epistemic,The overall assessment is objective.,-4.9762526,-3.530966,-5.541851934148481
Biased,Negative,epistemic,The overall assessment is biased.,20.559555,-11.624136,-10.88003799973258
Clear,Positive,epistemic,The overall assessment is clear.,-13.148298,-10.366597,-5.8637491250042455
Vague,Negative,epistemic,The overall assessment is vague.,10.600187,-9.47453,-7.101522686696021
Rigorous,Positive,epistemic,The overall assessment is rigorous.,-6.9711485,-0.35986912,-5.953451110181085
Careless,Negative,epistemic,The overall assessment is careless.,6.0921345,2.6068766,-8.718235908924687
Scientific,Positive,epistemic,The overall assessment is scientific.,-5.035946,0.5554085,-7.093020920561508
Unscientific,Negative,epistemic,The overall assessment is unscientific.,15.998345,-4.899047,-8.786077746085544
Consistent,Positive,epistemic,The overall assessment is consistent.,-9.70457,-2.5962524,-6.4055970185471995
Contradictory,Negative,epistemic,The overall assessment is contradictory.,12.891225,-5.7458835,-8.4540394293635
Verifiable,Positive,epistemic,The overall assessment is verifiable.,-5.330743,-0.47976458,-6.014147720300946
